Label,Atlas_Hacim_mm3,Sol_Hacim_Ort_mm3,Sag_Hacim_Ort_mm3,Retention_Yuzde,LR_Oran_Ort,LR_Oran_SD,Mirror_Err_mm,Kompaktlik,T1_Outlier_Oran,Gradient_Netligi,BBox_Doluluk,Hastalar_arasi_Tutarlilik,LOO_DSC,Kalite_Skoru,TIER,TIER1_Yuzde
PuL,388.0,361.6,387.2,96.48,0.934,0.042,1.12,0.762,0.07,0.092,0.402,0.894,0.733,0.904,TIER-1,100
RN,382.0,420.4,417.2,109.62,1.01,0.042,0.92,0.811,0.086,0.09,0.456,0.87,0.756,0.901,TIER-1,100
PuM,1832.0,1222.0,1219.4,66.6,1.0,0.034,1.4,0.674,0.16,0.266,0.323,0.83,0.801,0.879,TIER-1,100
STh,239.0,273.2,260.6,111.68,1.05,0.045,0.72,0.716,0.059,0.116,0.277,0.908,0.654,0.879,TIER-1,100
VLpd,760.0,651.6,620.2,83.64,1.05,0.039,1.36,0.686,0.091,0.182,0.317,0.873,0.667,0.871,TIER-1,100
VApc,565.0,461.2,438.4,79.6,1.052,0.1,1.14,0.627,0.104,0.207,0.256,0.894,0.624,0.861,TIER-1,100
LP,448.0,346.0,536.2,98.48,0.65,0.048,1.4,0.673,0.08,0.147,0.25,0.872,0.666,0.86,TIER-1,100
VPLp,553.0,520.0,501.8,92.38,1.036,0.059,1.22,0.605,0.048,0.086,0.266,0.901,0.579,0.859,TIER-1,100
CM,308.0,226.2,216.2,71.82,1.05,0.056,1.04,0.761,0.025,0.149,0.307,0.852,0.623,0.855,TIER-1,100
VLpv,743.0,727.0,711.4,96.78,1.02,0.044,1.18,0.594,0.069,0.092,0.214,0.883,0.568,0.85,TIER-1,100
MDpc,1035.0,630.6,603.2,59.6,1.056,0.089,1.2,0.661,0.13,0.288,0.346,0.79,0.705,0.842,TIER-1,100
AV,292.0,204.8,184.0,66.56,1.12,0.177,1.24,0.671,0.088,0.552,0.301,0.736,0.657,0.831,TIER-1,100
MGN,213.0,170.2,175.8,81.2,0.978,0.1,1.3,0.735,0.243,0.424,0.304,0.777,0.649,0.831,TIER-1,100
LGNpc,185.0,168.4,157.6,88.12,1.076,0.142,1.2,0.67,0.116,0.234,0.303,0.852,0.612,0.83,TIER-1,100
VLa,319.0,347.6,323.8,105.22,1.08,0.116,1.06,0.683,0.048,0.082,0.318,0.87,0.469,0.821,TIER-1,100
Pf,187.0,126.8,125.0,67.32,1.02,0.054,1.06,0.637,0.161,0.43,0.257,0.847,0.577,0.807,TIER-1,100
VPM,186.0,184.2,175.6,96.72,1.052,0.097,0.84,0.649,0.052,0.092,0.19,0.888,0.444,0.801,TIER-1,100
PuA,167.0,131.4,132.4,78.98,1.002,0.071,1.1,0.692,0.055,0.094,0.309,0.876,0.491,0.796,TIER-1,100
CL,884.0,558.6,516.2,60.8,1.096,0.097,1.2,0.381,0.184,0.331,0.17,0.8,0.528,0.781,TIER-1,100
VM,156.0,159.0,149.6,98.92,1.06,0.058,0.86,0.653,0.071,0.126,0.206,0.876,0.463,0.779,TIER-1,100
MDmc,207.0,117.4,108.0,54.44,1.106,0.152,1.16,0.636,0.076,0.533,0.355,0.546,0.543,0.744,TIER-1,100
LD,164.0,112.8,100.8,65.14,1.128,0.101,1.38,0.56,0.037,0.546,0.127,0.606,0.445,0.726,TIER-1,100
CeM,154.0,93.2,94.6,60.96,1.03,0.231,1.08,0.584,0.087,0.581,0.166,0.696,0.467,0.715,TIER-1,100
VPI,69.0,67.2,67.8,97.8,0.996,0.039,1.0,0.774,0.052,0.088,0.381,0.881,0.499,0.714,TIER-1,100
PuI,59.0,51.6,57.8,92.74,0.91,0.125,1.24,0.775,0.074,0.193,0.316,0.799,0.561,0.709,TIER-1,100
VPLa,117.0,125.0,113.0,101.72,1.108,0.147,1.1,0.663,0.038,0.061,0.322,0.867,0.328,0.698,TIER-1,100
Po,65.0,52.8,53.2,81.54,1.0,0.111,1.3,0.758,0.025,0.125,0.336,0.87,0.489,0.686,TIER-1,100
SG,59.0,36.0,37.8,62.54,0.978,0.207,1.18,0.844,0.099,0.314,0.412,0.824,0.518,0.667,TIER-1,100
Li,81.0,40.4,45.2,52.86,0.898,0.065,1.46,0.721,0.054,0.654,0.213,0.635,0.536,0.636,TIER-1,80
AM,50.0,31.8,26.2,58.0,1.216,0.232,1.24,0.784,0.076,0.691,0.287,0.718,0.479,0.633,TIER-1,100
LGNmc,77.0,65.4,63.8,83.9,1.024,0.136,1.38,0.521,0.096,0.49,0.193,0.826,0.378,0.605,TIER-2,40
VAmc,74.0,56.0,53.2,73.8,1.072,0.236,1.2,0.613,0.045,0.235,0.216,0.868,0.368,0.587,TIER-2,40
Hb,51.0,27.4,28.6,54.92,0.978,0.16,1.3,0.834,0.095,0.881,0.348,0.622,0.45,0.573,TIER-2,20
mtt,57.0,38.8,47.0,75.28,0.822,0.192,0.9,0.611,0.056,0.219,0.165,0.838,0.329,0.445,TIER-3,0
Pv,7.0,5.6,3.8,67.14,16000000001.366,35777087639.233,1.35,0.985,0.08,0.527,0.372,0.266,0.233,0.351,TIER-3,0
AD,9.0,6.0,3.4,52.22,2.916,2.749,1.78,0.773,0.111,0.575,0.503,0.359,0.187,0.292,TIER-3,0
sPf,14.0,13.0,10.8,85.0,1.28,0.458,1.0,0.856,0.082,0.173,0.109,0.807,0.219,0.292,TIER-3,0
MV,16.0,9.4,6.4,49.36,1.58,0.657,1.12,0.842,0.083,0.843,0.244,0.566,0.245,0.252,TIER-3,0
