subject_id,warp,refine,S_warp,S_propagate,S_refine,S_stability,S_runtime,S_total,best_candidate
IXI016-Guys-0697,W2,R1,1.0,0.622,1.0,0.5,0.9431,0.8498,BEST: W2+R1 (S=0.850)
IXI002-Guys-0828,W3,R1,1.0,0.6585,1.0,0.5,0.6695,0.8316,
IXI016-Guys-0697,W3,R1,1.0,0.6341,1.0,0.5,0.7118,0.8297,
IXI002-Guys-0828,W1,R1,1.0,0.6341,1.0,0.5,0.6609,0.8246,
IXI012-HH-1211,W1,R1,1.0,0.6098,1.0,0.5,0.7113,0.8236,
IXI012-HH-1211,W3,R1,1.0,0.561,1.0,0.5,0.6895,0.8092,
IXI016-Guys-0697,W1,R1,1.0,0.5854,0.818,0.5,0.7116,0.772,
IXI013-HH-1212,W1,R1,1.0,0.7073,0.653,0.5,0.5048,0.7406,
IXI015-HH-1258,W3,R1,1.0,0.5244,0.5,0.5,0.6809,0.6742,
IXI015-HH-1258,W1,R1,1.0,0.5366,0.5,0.5,0.6347,0.6726,
IXI013-HH-1212,W2,R1,1.0,0.622,0.234,0.5,0.9441,0.6584,BEST: W2+R1 (S=0.850)
IXI015-HH-1258,W2,R1,1.0,0.5244,0.3175,0.5,0.9435,0.6548,BEST: W2+R1 (S=0.850)
IXI002-Guys-0828,W2,R1,1.0,0.4756,0.348,0.5,0.9434,0.6502,BEST: W2+R1 (S=0.850)
IXI012-HH-1211,W2,R1,1.0,0.4756,0.345,0.5,0.943,0.6495,BEST: W2+R1 (S=0.850)
IXI013-HH-1212,W3,R1,1.0,0.6707,0.283,0.5,0.5958,0.648,
IXI013-HH-1212,W2,R3,1.0,0.622,0.0,0.5,0.9441,0.5999,
IXI013-HH-1212,W2,R2,1.0,0.622,0.0,0.5,0.9441,0.5999,
IXI016-Guys-0697,W2,R3,1.0,0.622,0.0,0.5,0.9431,0.5998,
IXI016-Guys-0697,W2,R2,1.0,0.622,0.0,0.5,0.9431,0.5998,
IXI002-Guys-0828,W3,R2,1.0,0.6585,0.0,0.5,0.6695,0.5816,
IXI002-Guys-0828,W3,R3,1.0,0.6585,0.0,0.5,0.6695,0.5816,
IXI016-Guys-0697,W3,R2,1.0,0.6341,0.0,0.5,0.7118,0.5797,
IXI016-Guys-0697,W3,R3,1.0,0.6341,0.0,0.5,0.7118,0.5797,
IXI013-HH-1212,W1,R2,1.0,0.7073,0.0,0.5,0.5048,0.5773,
IXI013-HH-1212,W3,R3,1.0,0.6707,0.0,0.5,0.5958,0.5773,
IXI013-HH-1212,W3,R2,1.0,0.6707,0.0,0.5,0.5958,0.5773,
IXI013-HH-1212,W1,R3,1.0,0.7073,0.0,0.5,0.5048,0.5773,
IXI015-HH-1258,W2,R3,1.0,0.5244,0.0,0.5,0.9435,0.5755,
IXI015-HH-1258,W2,R2,1.0,0.5244,0.0,0.5,0.9435,0.5755,
IXI002-Guys-0828,W1,R3,1.0,0.6341,0.0,0.5,0.6609,0.5746,
IXI002-Guys-0828,W1,R2,1.0,0.6341,0.0,0.5,0.6609,0.5746,
IXI012-HH-1211,W1,R2,1.0,0.6098,0.0,0.5,0.7113,0.5736,
IXI012-HH-1211,W1,R3,1.0,0.6098,0.0,0.5,0.7113,0.5736,
IXI016-Guys-0697,W1,R3,1.0,0.5854,0.0,0.5,0.7116,0.5675,
IXI016-Guys-0697,W1,R2,1.0,0.5854,0.0,0.5,0.7116,0.5675,
IXI002-Guys-0828,W2,R3,1.0,0.4756,0.0,0.5,0.9434,0.5632,
IXI002-Guys-0828,W2,R2,1.0,0.4756,0.0,0.5,0.9434,0.5632,
IXI012-HH-1211,W2,R2,1.0,0.4756,0.0,0.5,0.943,0.5632,
IXI012-HH-1211,W2,R3,1.0,0.4756,0.0,0.5,0.943,0.5632,
IXI012-HH-1211,W3,R2,1.0,0.561,0.0,0.5,0.6895,0.5592,
IXI012-HH-1211,W3,R3,1.0,0.561,0.0,0.5,0.6895,0.5592,
IXI015-HH-1258,W3,R3,1.0,0.5244,0.0,0.5,0.6809,0.5492,
IXI015-HH-1258,W3,R2,1.0,0.5244,0.0,0.5,0.6809,0.5492,
IXI015-HH-1258,W1,R2,1.0,0.5366,0.0,0.5,0.6347,0.5476,
IXI015-HH-1258,W1,R3,1.0,0.5366,0.0,0.5,0.6347,0.5476,
